Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0,1500,11.54500008,0,0,1500,0,0,0,0.267968237,-0.059814338,9.424346924,-0.0013322,-0.00239796,0.00186508
0,1500,11.54100037,0,0,1500,0,0,0,0.22968705,-0.009570294,9.469805717,-0.00106576,-0.00079932,0.00213152
0,1500,11.54100037,0,0,1500,0,0,0,0.289501399,-0.078954928,9.362139702,-0.0013322,0,0.00159864
0,1500,11.56400013,0,0,1500,0,0,0,0.2344722,-0.059814338,9.441095352,-0.00293084,-0.00159864,0.00159864
0,1500,11.56400013,0,0,1500,0,0,0,0.248827651,-0.021533161,9.402813911,-0.00213152,-0.00106576,0.00159864
0,1500,11.54599953,0,0,1500,0,0,0,0.220116764,-0.069384634,9.407599449,-0.00213152,-0.00213152,0.0013322
0,1500,11.54599953,0,0,1500,0,0,0,0.263183087,0.002392574,9.448272705,-0.00186508,-0.00053288,0.00159864
0,1500,11.56200027,0,0,1500,0,0,0,0.265575647,-0.021533161,9.424346924,-0.0013322,-0.00213152,0.0013322
0,1500,11.56200027,0,0,1500,0,0,0,0.246435076,-0.098095514,9.39324379,-0.00213152,-0.00106576,0.0026644
0,1500,11.55099964,0,0,1500,0,0,0,0.251220226,-0.055029191,9.467412949,-0.0013322,-0.00079932,0.00079932
0,1500,11.55099964,0,0,1500,0,0,0,0.248827651,-0.064599484,9.35256958,-0.0013322,-0.00079932,0.00213152
0,1500,11.55200005,0,0,1500,0,0,0,0.263183087,-0.1172361,9.441095352,-0.00106576,-0.00159864,0.00159864
0,1500,11.55200005,0,0,1500,0,0,0,0.282323658,-0.069384634,9.476984024,-0.00213152,-0.00186508,0.00213152
0,1500,11.54199982,0,0,1500,0,0,0,0.294286549,-0.074169777,9.429132462,-0.0013322,-0.00026644,0.00159864
0,1500,11.54199982,0,0,1500,0,0,0,0.30624941,-0.100488089,9.438702583,-0.00079932,-0.00213152,0.00213152
0,1500,11.56499958,0,0,1500,0,0,0,0.272753388,-0.035888601,9.493731499,-0.00159864,-0.00106576,0.00186508
0,1500,11.56499958,0,0,1500,0,0,0,0.244042501,-0.062206913,9.381280899,-0.0026644,-0.00159864,0.00213152
0,1500,11.54699993,0,0,1500,0,0,0,0.253612787,-0.100488089,9.429132462,-0.00159864,-0.00213152,0.00213152
0,1500,11.54699993,0,0,1500,0,0,0,0.277538538,-0.045458898,9.455450058,-0.00186508,0.00053288,0.00079932
0,1500,11.56200027,0,0,1500,0,0,0,0.22729449,-0.095702939,9.402813911,-0.00053288,-0.0013322,0.00213152
0,1500,11.56200027,0,0,1500,0,0,0,0.291893959,-0.009570294,9.40520668,-0.00079932,-0.00079932,0.00186508
0,1500,11.55500031,0,0,1500,0,0,0,0.294286549,-0.043066323,9.498517036,-0.00053288,-0.00159864,0.00159864
0,1500,11.55500031,0,0,1500,0,0,0,0.246435076,-0.12202125,9.433917046,-0.00159864,-0.0013322,0.00186508
0,1500,11.54500008,0,0,1500,0,0,0,0.244042501,-0.100488089,9.457842827,-0.00159864,-0.00186508,0.00186508
