Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
0,1500,11.56499958,0,0,0,0,0,0,0.232079625,-0.090917796,9.39324379,0.02318028,0.019983001,0
0,1500,11.56499958,0,0,0,0,0,0,0.267968237,-0.081347495,9.376495361,0.026377561,0.026377561,0
0,1500,11.54599953,0,0,0,0,0,0,0.291893959,-0.069384634,9.424346924,0.0213152,0.02104876,0
0,1500,11.54599953,0,0,0,0,0,0,0.200976178,-0.131591544,9.309503555,0.024512481,0.021848081,0
0,1500,11.55599976,0,0,0,0,0,0,0.30624941,-0.052636616,9.453058243,0.025311802,0.0213152,0
0,1500,11.55599976,0,0,0,0,0,0,0.272753388,-0.031103456,9.448272705,0.024246041,0.023979601,0
0,1500,11.56700039,0,0,0,0,0,0,0.246435076,-0.1172361,9.400421143,0.024246041,0.02371316,0
0,1500,11.56700039,0,0,0,0,0,0,0.272753388,-0.040673748,9.402813911,0.02584468,0.022380961,0
0,1500,11.53800011,0,0,0,0,0,0,0.275145948,-0.110058382,9.407599449,0.02371316,0.02371316,0
0,1500,11.53800011,0,0,0,0,0,0,0.253612787,-0.059814338,9.35256958,0.02318028,0.022913842,0
0,1500,11.5720005,0,0,0,0,0,0,0.282323658,-0.011962867,9.453058243,0.02371316,0.022647401,0
0,1500,11.5720005,0,0,0,0,0,0,0.287108809,-0.093310364,9.359747887,0.022647401,0.02104876,0
0,1500,11.54599953,0,0,0,0,0,0,0.320604861,-0.035888601,9.467412949,0.024512481,0.02344672,0
0,1500,11.54599953,0,0,0,0,0,0,0.334960282,-0.023925735,9.462628365,0.023979601,0.019450121,0
0,1500,11.56000042,0,0,0,0,0,0,0.246435076,-0.088525221,9.39324379,0.022114521,0.020515881,0
0,1500,11.56000042,0,0,0,0,0,0,0.284716249,-0.045458898,9.338213921,0.02584468,0.02158164,0
0,1500,11.54399967,0,0,0,0,0,0,0.251220226,-0.043066323,9.441095352,0.02371316,0.024512481,0
0,1500,11.54399967,0,0,0,0,0,0,0.224901915,-0.110058382,9.388458252,0.025311802,0.022114521,0
0,1500,11.56000042,0,0,0,0,0,0,0.279931098,-0.023925735,9.462628365,0.02371316,0.02078232,0
0,1500,11.56000042,0,0,0,0,0,0,0.30146426,-0.028710881,9.424346924,0.024246041,0.02584468,0
0,1500,11.52499962,0,0,0,0,0,0,0.277538538,-0.081347495,9.369318008,0.02584468,0.021848081,0
0,1500,11.52499962,0,0,0,0,0,0,0.287108809,-0.043066323,9.505694389,0.023979601,0.022114521,0
0,1500,11.53899956,0,0,0,0,0,0,0.267968237,-0.105273232,9.354962349,0.027176881,0.021848081,0
0,1500,11.53899956,0,0,0,0,0,0,0.291893959,-0.074169777,9.465021133,0.02158164,0.021848081,0
0,1500,11.56700039,0,0,0,0,0,0,0.296679109,-0.035888601,9.407599449,0.025045361,0.02318028,0
0,1500,11.56700039,0,0,0,0,0,0,0.342138022,-0.136376694,9.362139702,0.02344672,0.022114521,0
0,1500,11.55000019,0,0,0,0,0,0,0.31103456,-0.019140588,9.409991264,0.022380961,0.02344672,0
0,1500,11.55000019,0,0,0,0,0,0,0.332567722,-0.019140588,9.450665474,0.02611112,0.02104876,0
0,1500,11.54899979,0,0,0,0,0,0,0.260790497,-0.114843525,9.40520668,0.022913842,0.0213152,0
0,1500,11.54899979,0,0,0,0,0,0,0.263183087,-0.066992059,9.359747887,0.02584468,0.023979601,0
0,1500,11.56200027,0,0,1500,0,0,0,0.299071699,-0.143554404,9.426739693,-0.00159864,0.00079932,0.00106576
0,1500,11.56200027,0,0,1500,0,0,0,-0.153124705,0.894822478,9.878935814,0.00719388,-0.00159864,-0.00373016
0,1500,11.53800011,0,0,1500,0,0,0,0.184228167,0.153124705,9.546368599,0.0053288,0.00452948,0.00186508
0,1500,11.53800011,0,0,1500,0,0,0,0.165087566,-0.093310364,9.316680908,0.00213152,-0.00159864,0.024512481
0,1500,11.54599953,0,0,1500,0,0,0,0.358886033,0.148339555,9.505694389,-0.00346372,0.00079932,0.00559524
0,1500,11.54599953,0,0,1500,0,0,0,0.404344916,-0.047851469,9.469805717,-0.00346372,-0.00373016,0
0,1500,11.54599953,0,0,1500,0,0,0,0.31581971,-0.12202125,9.35256958,-0.00346372,-0.00053288,0.00159864
0,1500,11.54599953,0,0,1500,0,0,0,0.22729449,-0.110058382,9.36692524,-0.00346372,-0.00079932,0.0013322
0,1500,11.5710001,0,0,1500,0,0,0,0.265575647,0,9.469805717,-0.00106576,0,0.00186508
0,1500,11.5710001,0,0,1500,0,0,0,0.272753388,-0.095702939,9.414776802,-0.0013322,-0.00079932,-0.00026644
