Reference,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0,0,1500,12.60000038,0,0,1500,0,0,0,0.236864775,-0.064599484,9.37888813,-0.00026644,0.00026644,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.291893959,-0.023925735,9.460235596,0.00026644,0.0013322,0.00079932
0,0,1500,12.60000038,0,0,1500,0,0,0,0.256005377,-0.100488089,9.359747887,-0.00079932,0.00106576,-0.00079932
0,0,1500,12.60000038,0,0,1500,0,0,0,0.253612787,-0.08374007,9.36692524,-0.00106576,-0.00053288,-0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.272753388,-0.066992059,9.374102592,0,-0.00079932,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.260790497,-0.08374007,9.264044762,0.00026644,-0.00026644,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.232079625,-0.062206913,9.371710777,0.00079932,-0.00026644,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.241649926,-0.031103456,9.381280899,0.00026644,0.00106576,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.2344722,-0.040673748,9.345392227,-0.00026644,0.00079932,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.279931098,-0.052636616,9.438702583,-0.00026644,0.00026644,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.251220226,-0.057421762,9.309503555,0,-0.00026644,-0.0013322
0,0,1500,12.60000038,0,0,1500,0,0,0,0.277538538,-0.040673748,9.424346924,-0.00053288,-0.00026644,0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.270360798,-0.057421762,9.417169571,-0.00026644,-0.00026644,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.217724189,-0.062206913,9.39324379,-0.00079932,-0.00053288,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.248827651,-0.059814338,9.32625103,-0.00026644,-0.00106576,-0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.236864775,-0.057421762,9.333429337,0.00026644,0,-0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.272753388,-0.035888601,9.362139702,-0.00026644,0.00106576,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.279931098,-0.078954928,9.388458252,-0.00026644,0,0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.265575647,-0.081347495,9.292755127,0.0013322,0.00026644,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.284716249,-0.057421762,9.462628365,-0.00053288,0.00026644,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.282323658,-0.110058382,9.386065483,0,0.0013322,-0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.284716249,-0.066992059,9.395636559,0.00026644,0,0
0,0,1500,12.60000038,0,0,1500,0,0,0,0.267968237,-0.040673748,9.433917046,0,-0.00053288,0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.241649926,-0.090917796,9.357355118,0,-0.00053288,0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.258397937,-0.047851469,9.369318008,-0.00053288,0,-0.00053288
0,0,1500,12.60000038,0,0,1500,0,0,0,0.246435076,-0.066992059,9.407599449,0.00186508,-0.00026644,0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.279931098,-0.086132646,9.319073677,0,-0.00026644,-0.00079932
0,0,1500,12.60000038,0,0,1500,0,0,0,0.246435076,-0.066992059,9.40520668,0.00106576,0.00053288,-0.00026644
0,0,1500,12.60000038,0,0,1500,0,0,0,0.244042501,-0.071777202,9.359747887,0.00053288,0,0
0.386855492,1.876110279,1500,12.60000038,0,0,1500,0,0,0,0.217724189,-0.081347495,9.453058243,0.00026644,-0.00079932,0.00079932
0.386855492,2.436400835,1500,12.60000038,0,0,1500,0,0,0,0.275145948,-0.1172361,9.276007652,0.00026644,-0.00026644,0.00026644
0.386855492,3.306693207,1500,12.60000038,0,0,1500,0,0,0,0.287108809,-0.098095514,9.340606689,0,0.00079932,0
0.386855492,4.174795732,1500,12.60000038,1.876000047,1.876000047,1500,0.000764706,0,-0.101000004,1.909273624,-0.550291896,9.479375839,0.00239796,-0.042896841,-0.013322
0.386855492,5.025715464,1500,12.60000038,2.436000109,2.436000109,1500,0.004449398,0,0,1.38530004,0.093310364,9.053498268,-0.00079932,0.031173481,0.0053288
0.386855492,5.827487117,1500,12.60000038,3.305750132,3.305750132,1500,0.016985717,0,-0.018999999,1.53842473,-0.102880664,9.436309814,-0.01305556,-0.013588441,0.00053288
0.386855492,6.254186273,1500,12.60000038,4.173749924,4.173749924,1500,0.10264844,0,-0.333000004,2.29447794,0.31342712,8.833381653,0.00506236,0.019716561,0.00346372
0.386855492,6.461741351,1500,12.60000038,5.024250031,5.024250031,1500,0.205996818,0,-0.356999993,2.263374567,-0.337352872,9.460235596,-0.0053288,0.00959184,-0.00186508
0.386855492,6.384498411,1500,12.60000038,5.825750351,5.825750351,1500,0.322828471,0,-0.068000004,1.08383584,-0.392382056,9.766485214,-0.017851481,0.034104321,0.00959184
0.386855492,6.266133764,1500,12.60000038,6.25274992,6.25274992,1500,0.39621199,0,-0.307000011,2.057613134,1.148435235,8.670686722,0.020515881,0.00026644,-0.00586168
0.386855492,5.216127834,1500,12.60000038,6.45925045,6.45925045,1500,0.620464134,0,-0.093999997,2.210737944,-1.452292085,8.680256844,-0.02078232,0.01838436,-0.0079932
0.386855492,5.130554742,1500,12.60000038,6.382250309,6.382250309,1500,0.566723343,0,-0.041000001,-0.552684486,-0.31342712,11.92937183,0.100447886,-0.035969403,0.026910441
0.386855492,4.776618962,1500,12.60000038,6.264999866,6.264999866,1500,0.547381536,0,-0.270000011,1.751363754,-0.370848894,6.258972168,-0.01651928,0.050623603,-0.019983001
0.386855492,5.015754685,1500,12.60000038,5.215000153,5.215000153,1500,0.420430712,0,-0.338,0.241649926,-0.413915217,8.646760941,-0.06474492,-0.048225641,0.040498883
0.386855492,4.563197772,1500,12.60000038,5.12925005,5.12925005,1500,0.477192904,0,-0.321999997,-0.322997421,-0.031103456,11.59201908,0.0053288,-0.038633801,0.06101476
0.386855492,4.39748986,1500,12.60000038,4.77575016,4.77575016,1500,0.478820898,0,-0.319999993,-0.358886033,0.059814338,11.43171597,-0.01651928,-0.056751721,0.058616802
0.386855492,4.213356628,1500,12.60000038,5.013750076,5.013750076,1500,0.474386639,0,-0.307000011,-0.423485518,-0.078954928,9.319073677,-0.0373016,0.03703516,0.062080521
0.386855492,4.006274149,1500,12.60000038,4.56224966,4.56224966,1500,0.475775112,0,0.103,-0.167480141,0.77280122,8.909943581,0.00985828,0.0119898,0.045028362
0.386855492,3.870224262,1500,12.60000038,4.396000385,4.396000385,1500,0.462790526,0,-0.298000008,-0.15073213,-0.318212271,9.866972923,-0.0013322,0.078866243,0.043163281
0.386855492,3.73747234,1500,12.60000038,4.212250233,4.212250233,1500,0.45278367,0,-0.137999997,-1.033591747,0.744090378,9.256866455,0.06474492,-0.00293084,0.052488681
0.386855492,3.620544257,1500,12.60000038,4.005750179,4.005750179,1500,0.444666832,0,0.093999997,0.165087566,-0.327782571,10.02488327,0.011190481,0.047959201,0.02371316
0.386855492,3.550639913,1500,12.60000038,3.869250298,3.869250298,1500,0.430921544,0,-0.028000001,0.095702939,-1.026414037,9.575078964,-0.069807284,-0.030374162,0.01039116
0.386855492,3.510077913,1500,12.60000038,3.736249924,3.736249924,1500,0.416577417,0,0.075999998,0.380419195,-0.136376694,8.01512146,-0.036502283,-0.020249441,0.0213152
