idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
0,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3373528718948364,-0.1004880890250206,9.405206680297852,-0.0002664400089997798,0.0007993200561031699,0.0
1,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3253899812698364,-0.009570294059813023,9.457842826843262,-0.0007993200561031699,-0.0007993200561031699,0.0002664400089997798
2,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.32299742102622986,-0.06220691278576851,9.393243789672852,-0.0015986401122063398,0.0005328800179995596,0.0002664400089997798
3,0.0,1500,11.692999839782715,0.0,0.0,1500,0.0,0.0,0.0,0.34931573271751404,-0.05981433764100075,9.378888130187988,-0.0010657600359991193,0.0007993200561031699,-0.0002664400089997798
4,0.0,1500,11.692999839782715,0.0,0.0,1500,0.0,0.0,0.0,0.34213802218437195,-0.014355440624058247,9.426739692687988,-0.0005328800179995596,0.0010657600359991193,0.0002664400089997798
5,0.0,1500,11.689000129699707,0.0,0.0,1500,0.0,0.0,0.0,0.29907169938087463,-0.11484352499246597,9.371710777282715,0.0,0.0005328800179995596,0.0
6,0.0,1500,11.689000129699707,0.0,0.0,1500,0.0,0.0,0.0,0.35649344325065613,-0.019140588119626045,9.448272705078125,0.0,0.0002664400089997798,0.0005328800179995596
7,0.0,1500,11.67300033569336,0.0,0.0,1500,0.0,0.0,0.0,0.3445305824279785,0.007177720312029123,9.488946914672852,-0.0010657600359991193,0.0010657600359991193,-0.0002664400089997798
8,0.0,1500,11.67300033569336,0.0,0.0,1500,0.0,0.0,0.0,0.33496028184890747,-0.1004880890250206,9.426739692687988,-0.0007993200561031699,-0.0002664400089997798,0.0002664400089997798
9,0.0,1500,11.692999839782715,0.0,0.0,1500,0.0,0.0,0.0,0.34692317247390747,-0.02392573468387127,9.455450057983398,-0.0007993200561031699,-0.0005328800179995596,0.0
10,0.0,1500,11.692999839782715,0.0,0.0,1500,0.0,0.0,0.0,0.34931573271751404,-0.07895492762327194,9.338213920593262,-0.0007993200561031699,-0.0002664400089997798,0.0002664400089997798
11,0.0,1500,11.673999786376953,0.0,0.0,1500,0.0,0.0,0.0,0.31821227073669434,-0.045458897948265076,9.453058242797852,-0.0005328800179995596,0.0002664400089997798,0.0005328800179995596
12,0.0,1500,11.673999786376953,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.10527323186397552,9.359747886657715,-0.0002664400089997798,0.0002664400089997798,0.0
13,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.3253899812698364,-0.11005838215351105,9.431524276733398,-0.0010657600359991193,-0.0002664400089997798,-0.0002664400089997798
14,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.007177720312029123,9.438702583312988,-0.0002664400089997798,0.0005328800179995596,-0.0005328800179995596
15,0.0,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.3277825713157654,-0.04785146936774254,9.359747886657715,-0.0005328800179995596,0.0007993200561031699,-0.0007993200561031699
16,0.0,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.35649344325065613,-0.04067374765872955,9.472198486328125,-0.0010657600359991193,0.0,0.0005328800179995596
